date,venue_name,set1,set2,set3,encore
06/08/2024,"Sphere at The Venetian Resort, Las Vegas, NV, USA","['Cold Rain and Snow', 'Mississippi Half-Step Uptown Toodeloo', 'Bertha', 'West L.A. Fadeaway', 'They Love Each Other', 'Jack Straw', 'One More Saturday Night']","['Good Times', 'Sugar Magnolia', 'Althea', 'Terrapin Station', 'Drums', 'Space', 'Standing on the Moon', ""Good Lovin'"", 'Deal', ""Knockin' on Heaven's Door"", 'Song played from tape', 'Not Fade Away']",[],[]
06/07/2024,"Sphere at The Venetian Resort, Las Vegas, NV, USA","[""Uncle John's Band"", ""Franklin's Tower"", 'Loose Lucy', 'Ship of Fools', 'Help on the Way', 'Slipknot!', 'Eyes of the World']","['St. Stephen', 'Scarlet Begonias', ""He's Gone"", 'Dark Star', 'Drums', 'Space', 'Looks Like Rain', ""Truckin'"", 'Throwing Stones', 'Song played from tape', 'Casey Jones']",[],[]
06/06/2024,"Sphere at The Venetian Resort, Las Vegas, NV, USA","['Minglewood Blues', 'Playing in the Band', 'Feel Like a Stranger', 'Tennessee Jed', 'The Weight', 'Peggy-O', 'Sugaree']","['Here Comes Sunshine', 'China Cat Sunflower', 'I Know You Rider', 'Estimated Prophet', 'The Other One', 'Drums', 'Space', ""Death Don't Have No Mercy"", 'Brown-Eyed Women', 'U.S. Blues', 'Morning Dew', 'Song played from tape', 'Johnny B. Goode']",[],[]
06/01/2024,"Sphere at The Venetian Resort, Las Vegas, NV, USA","['Alabama Getaway', 'The Music Never Stopped', 'They Love Each Other', 'Ramble On Rose', 'It Hurts Me Too', 'Lost Sailor', 'Saint of Circumstance']","['Sugaree', 'St. Stephen', 'Brown-Eyed Women', 'Cumberland Blues', 'Drums', 'Space', 'Dear Prudence', 'Sugar Magnolia', 'Scarlet Begonias', 'Sunshine Daydream', 'Brokedown Palace', 'Song played from tape', 'One More Saturday Night']",[],[]
05/31/2024,"Sphere at The Venetian Resort, Las Vegas, NV, USA","['Shakedown Street', 'Jack Straw', 'New Speedway Boogie', 'Row Jimmy', 'Tennessee Jed', 'Playing in the Band', ""Don't Ease Me In""]","[""Uncle John's Band"", 'China Cat Sunflower', 'I Know You Rider', 'Dark Star', 'Drums', 'Space', 'Stella Blue', 'Terrapin Station', 'Hell in a Bucket', 'Black Muddy River', 'Song played from tape', 'Casey Jones']",[],[]
05/30/2024,"Sphere at The Venetian Resort, Las Vegas, NV, USA","['Iko Iko', 'Eyes of the World', 'Bertha', 'Loser', 'El Paso', 'Cold Rain and Snow']","['Ripple', 'Estimated Prophet', 'Mr. Charlie', 'Help on the Way', 'Slipknot!', ""Franklin's Tower"", 'Drums', 'Space', 'Standing on the Moon', 'Althea', 'Going Down the Road Feeling Bad', ""Knockin' on Heaven's Door"", 'Song played from tape', 'Fire on the Mountain']",[],[]
05/26/2024,"Sphere at The Venetian Resort, Las Vegas, NV, USA","['Samson and Delilah', ""Franklin's Tower"", 'Jack Straw', 'Friend of the Devil', 'Ramble On Rose', 'Feel Like a Stranger']","['Scarlet Begonias', 'Fire on the Mountain', 'All Along the Watchtower', 'Terrapin Station', 'Drums', 'Space', 'Wharf Rat', 'Cold Rain and Snow', 'U.S. Blues', 'Morning Dew', 'Song played from tape', 'Not Fade Away']",[],[]
05/25/2024,"Sphere at The Venetian Resort, Las Vegas, NV, USA","['Bertha', 'Mississippi Half-Step Uptown Toodeloo', 'Dancing in the Street', ""Good Lovin'"", ""Maggie's Farm"", 'Deal']","['Shakedown Street', 'China Cat Sunflower', 'I Know You Rider', 'Eyes of the World', 'Drums', 'Space', 'Black Peter', 'Brown-Eyed Women', 'Hell in a Bucket', 'Throwing Stones', 'Song played from tape', 'Casey Jones']",[],[]
05/24/2024,"Sphere at The Venetian Resort, Las Vegas, NV, USA","['I Need a Miracle', 'The Music Never Stopped', 'They Love Each Other', 'The Weight', 'Cassidy', 'Mama Tried', 'Althea']","['Playing in the Band', 'Dark Star', 'St. Stephen', 'Let It Grow', 'Drums', 'Space', 'Days Between', 'Dear Mr. Fantasy', 'Hey Jude', 'Sugar Magnolia', 'Brokedown Palace', 'Song played from tape', 'Touch of Grey']",[],[]
05/18/2024,"Sphere at The Venetian Resort, Las Vegas, NV, USA","['Good Times', ""Truckin'"", 'Smokestack Lightning', 'Sugaree', 'Loose Lucy', 'Ship of Fools', 'Tennessee Jed', 'Casey Jones']","['Scarlet Begonias', 'Fire on the Mountain', 'Eyes of the World', 'Terrapin Station', 'Drums', 'Space', 'Stella Blue', 'The Wheel', 'Going Down the Road Feeling Bad', 'Throwing Stones', 'Song played from tape', 'One More Saturday Night']",[],[]
